Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
BRIL,CSE,COMPUTER SCIENCE AND ENGINEERING,71568,71568,128340,129744,89490,89490,76061,81787,85063,85063,109393,132076,149310,149310,142772,142772,101837,101837
BRIL,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),70343,78892,119057,125198,91536,91536,70343,78892,77933,90139,124310,130509,70343,142868,135918,136873,99723,99723
BRIL,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),93268,93268,112773,112773,112260,112260,102407,102407,100000,106257,102454,103441,100187,100187,147035,149129,112929,112929
BRIL,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,76281,76281,104706,109838,99495,101898,96515,96515,94835,94835,103377,103377,76281,76281,148392,148464,106825,111591
BRIL,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,66746,66746,121649,121649,121616,121616,66746,66746,102754,102754,66746,115670,66746,66746,125334,137200,118155,118155
BRIL,MEC,MECHANICAL ENGINEERING,87364,87364,87364,128334,129820,144393,115236,115236,116738,148517,87364,148318,133663,133663,151180,151180,122334,122334
BSKR,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,64623,67643,131748,131748,94101,94101,64623,67643,84883,86448,124889,124889,64623,67643,146373,146837,87113,87113
BSKR,CSE,COMPUTER SCIENCE AND ENGINEERING,56039,56039,123653,123653,80182,80182,56039,56039,67915,76084,101291,101291,56039,56039,136513,149290,76672,76672
BSKR,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),62642,62642,135017,135017,86151,91910,62642,62642,74937,74937,80222,132001,62642,62642,144412,146312,86740,86740
BSKR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,63690,63690,126632,126632,90154,90154,63690,63690,67266,78513,131516,131516,63690,63690,128396,151385,105927,105927
BSKR,INF,INFORMATION TECHNOLOGY,42467,54490,128000,128000,48681,92529,42467,54490,42467,78745,42467,54490,146413,146413,148226,148226,84302,94483
BVRI,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,7900,8608,22732,22732,11292,11735,33771,33771,10310,10310,20799,28583,69903,69903,35711,51244,8532,8784
BVRI,BME,BIO-MEDICAL ENGINEERING,46791,46791,66597,66597,65436,65436,46791,46791,68562,68562,66852,129948,46791,46791,111535,138445,68802,68802
BVRI,CHE,CHEMICAL ENGINEERING,34286,36481,88209,126798,54168,54168,56922,56922,55301,55301,82100,87799,34286,36481,106294,106294,39338,57267
BVRI,CIV,CIVIL ENGINEERING,33806,39632,60030,66678,54912,66429,33806,39632,47282,49179,70043,70043,33806,107622,79001,79001,40028,42809
BVRI,CSB,COMPUTER SCIENCE AND BUSINESS SYSTEM,8733,8733,21949,24242,11880,11880,8733,89051,10864,12954,8733,30926,8733,8733,46846,54114,8962,10185
BVRI,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),7477,7867,21130,21130,9789,11039,27716,27716,9788,11054,20545,27903,56742,56742,41171,49786,8074,8413
BVRI,CSE,COMPUTER SCIENCE AND ENGINEERING,6208,7150,19762,20077,8928,10013,26435,26435,9161,9531,19420,24066,61123,124172,37318,46352,7110,7945
BVRI,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),6641,7599,19410,19818,9148,10332,6641,31161,9378,9829,14049,25034,6641,141447,38365,47647,7345,8069
BVRI,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,10579,11806,28120,28365,15163,15163,36197,36197,15342,15342,28851,28851,38565,140425,46540,61939,12680,13343
BVRI,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,17010,20165,51810,52154,21255,35041,17010,20165,23359,26785,17010,20165,17010,20165,36762,69538,20346,25236
BVRI,MEC,MECHANICAL ENGINEERING,25862,35457,71318,116966,50381,75248,25862,35457,33253,60962,78806,78806,25862,35457,77268,140496,32210,42917
BVRI,PHE,PHARMACEUTICAL ENGINEERING,50536,61684,119612,119612,63975,78187,50536,61684,59631,61684,124183,124183,145246,145246,133968,133968,70057,70057
BVRW,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,7483,NA,19041,NA,11175,NA,48727,NA,11162,NA,24022,NA,92253,NA,46094,NA,8729
BVRW,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),NA,7468,NA,19362,NA,8521,NA,32139,NA,9491,NA,18019,NA,89923,NA,45707,NA,8228
BVRW,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,10882,NA,30145,NA,14297,NA,35439,NA,14458,NA,35927,NA,62646,NA,57848,NA,13509
BVRW,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,23332,NA,49612,NA,35097,NA,23332,NA,37406,NA,120973,NA,23332,NA,95571,NA,32080
