inst_code,inst_name,place,dist_code,coed,type,estab,affiliation
VISA,VATHSALYA INSTITUTE OF SCI AND TECHNOLOGY,BHONGIR,YBG,COED,PVT,2001,JNTUH
VISA,VATHSALYA INSTITUTE OF SCI AND TECHNOLOGY,BHONGIR,YBG,COED,PVT,2001,JNTUH
VITS,SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI,MAHABUBNAGAR,MBN,COED,PVT,1997,JNTUH
VITS,SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI,MAHABUBNAGAR,MBN,COED,PVT,1997,JNTUH
VITS,SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI,MAHABUBNAGAR,MBN,COED,PVT,1997,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJIT,VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,MOINABAD,RR,COED,PVT,1999,JNTUH
VJYA,VIJAYA ENGINEERING COLLEGE,KHAMMAM,KHM,COED,PVT,2007,JNTUH
