Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
JNTH,CSE,COMPUTER SCIENCE AND ENGINEERING,746,787,1194,5389,988,988,4120,4120,746,2147,939,7433,14993,14993,3510,5512,956,1063
JNTH,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",1201,1704,1991,3378,1543,1981,1201,1704,1325,1869,2157,2157,1201,1704,6485,7704,1417,1704
JNTH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,2599,2810,5882,5882,2908,2908,2599,11971,2819,3125,3803,3803,2599,2810,10474,10474,3446,3446
JNTH,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,5906,8584,14139,15593,9286,9286,5906,8584,8322,10885,10704,12031,5906,37291,13051,13051,7771,9893
JNTH,GEO,GEO INFORMATICS,32436,32436,80707,105560,40160,40268,32436,32436,40223,40223,114400,114400,117184,117184,99493,99493,52634,55055
JNTH,MEC,MECHANICAL ENGINEERING,7934,15597,17573,17573,11444,16844,36421,36421,11326,15597,15750,17541,7934,15597,16328,24093,11465,15597
JNTH,MET,METALLURGICAL ENGINEERING,24498,24498,81014,81014,33659,41565,27414,27414,35667,35667,24498,28624,51772,51772,42079,98607,43900,43900
JNTHM T,MMS,BTECH MECHANICAL WITH MTECH MANUFACTURING  SYSTEMS,23014,23584,66214,66214,43069,47286,23014,23584,42832,42832,23014,62240,53139,53139,40801,40801,35601,39298
JNTHM T,MTE,BTECH MECHANICAL WITH MTECH THERMAL ENGG,24620,25535,81988,81988,43619,84058,54047,54047,48805,48805,84995,99768,24620,25535,89418,121348,29524,107275
JNTM,CIV,CIVIL ENGINEERING,52903,52903,119749,121581,127741,127741,52903,52903,90799,90799,105575,123215,52903,52903,139353,140935,115215,115215
JNTM,CSE,COMPUTER SCIENCE AND ENGINEERING,20548,20548,53091,53091,29609,29609,20548,59114,32451,32451,20548,128428,20548,70394,86901,86901,48365,48365
JNTM,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",24304,24872,79372,79372,37727,37727,43132,43132,42930,42930,64647,64647,24304,24872,92517,92517,64552,68695
JNTM,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,58505,58505,129933,129933,83681,88505,58505,58505,85461,93766,133190,133190,94787,94787,125492,125492,119127,119127
JNTM,MEC,MECHANICAL ENGINEERING,91989,91989,139988,140041,147567,147567,149140,149140,149919,149919,91989,91989,144987,144987,144371,150639,91989,91989
JNTM,MIN,MINING ENGINEERING,72471,76330,147646,147646,148406,148406,72471,76330,135353,147600,130396,145506,72471,76330,147969,147969,114569,114569
JNTR,CIV,CIVIL ENGINEERING,92365,92365,149434,149434,126959,126959,92365,92365,120096,120096,92365,92365,92365,92365,149678,149678,92365,92365
JNTR,CSE,COMPUTER SCIENCE AND ENGINEERING,27854,27854,78747,78747,47739,47739,27854,38453,40563,40563,77428,96240,27854,140597,129146,129146,67136,67136
JNTR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,39644,42138,114935,114935,87795,87795,70073,70073,65618,73440,107988,107988,133119,133119,142830,149799,119968,119968
JNTR,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,77302,77302,130959,130959,111394,111394,77302,77302,125615,125615,130213,130213,143688,143688,150842,150842,77302,77302
JNTR,MEC,MECHANICAL ENGINEERING,146580,146580,146580,146580,146580,146580,146580,146580,146580,146580,146580,146580,146580,146580,151482,151482,146580,146580
JNTR,TEX,TEXTILE TECHNOLOGY / TEXTILE ENGINEERING,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802,148802
JNTS,CIV,CIVIL ENGINEERING,38668,38668,103379,103379,46934,55524,79194,79194,50199,52747,59402,76623,38668,112325,89466,95599,109206,115137
JNTS,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),14617,14617,37532,37532,21481,22841,14617,14617,22465,22465,51448,51448,62245,62245,37123,41126,21303,23741
JNTS,CSE,COMPUTER SCIENCE AND ENGINEERING,10849,10849,21167,21712,16731,17958,36158,36158,14799,17036,30325,30325,10849,10849,24173,28515,15126,15126
JNTS,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",10376,13000,23455,28102,18310,18310,69285,69285,16958,17329,16655,16655,58292,58292,29895,29895,15677,16903
JNTS,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,18245,18245,40580,41403,27361,28113,18245,18245,27462,27462,32335,47257,18245,41214,40448,40448,21770,28319
JNTS,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,29879,32780,86584,101723,45089,68008,41050,56123,46685,49206,116695,116695,29879,80755,70730,92391,43715,51230
JNTS,MEC,MECHANICAL ENGINEERING,40761,44544,105964,106217,56624,85044,63421,80951,62880,74341,111740,111740,40761,115380,106294,139491,111452,111452
JNTSSF,CSE,COMPUTER SCIENCE AND ENGINEERING,22833,22833,51699,52991,34605,34605,22833,22833,42522,42522,74932,74932,151056,151056,42743,86421,28889,46548
